========== 16参数最优层级汇总报告 ==========
参数	最优层级	最优层级MAE	最优层级R²
------------------------------------------------------------
crwc	8	0.000000	0.000000
cswc	9	0.000000	0.000000
etadot	0	0.000000	0.000000
z	46	0.066908	0.000000
t	42	0.925833	0.983240
q	79	0.019925	-48286.639346
w	0	0.000000	0.000000
vo	46	0.000009	0.501673
lnsp	40	0.000032	0.000000
d	0	0.000005	0.181618
u	45	3.262696	0.911834
v	41	2.828362	0.834998
o3	25	0.000000	0.969926
clwc	7	0.000000	0.000000
ciwc	23	0.000000	0.000000
cc	79	0.464408	-3.042592
