========== d 最优层级性能指标 ==========
最优层级: 0 (MAE=0.000005)
最优层级RMSE: 0.000006
最优层级R²: 0.181618
最优层级MSE: 0.000000

========== 80层MAE分布 ==========
层级0: MAE=0.000005
层级1: MAE=0.000008
层级2: MAE=0.000008
层级3: MAE=0.000010
层级4: MAE=0.000010
层级5: MAE=0.000009
层级6: MAE=0.000010
层级7: MAE=0.000010
层级8: MAE=0.000037
层级9: MAE=0.000036
层级10: MAE=0.000013
层级11: MAE=0.000015
层级12: MAE=0.000032
层级13: MAE=0.000061
层级14: MAE=0.000019
层级15: MAE=0.000055
层级16: MAE=0.000033
层级17: MAE=0.000028
层级18: MAE=0.000035
层级19: MAE=0.000019
层级20: MAE=0.000020
层级21: MAE=0.000018
层级22: MAE=0.000018
层级23: MAE=0.000037
层级24: MAE=0.000035
层级25: MAE=0.000016
层级26: MAE=0.000025
层级27: MAE=0.000019
层级28: MAE=0.000015
层级29: MAE=0.000019
层级30: MAE=0.000026
层级31: MAE=0.000014
层级32: MAE=0.000016
层级33: MAE=0.000014
层级34: MAE=0.000015
层级35: MAE=0.000032
层级36: MAE=0.000013
层级37: MAE=0.000018
层级38: MAE=0.000027
层级39: MAE=0.000018
层级40: MAE=0.000011
层级41: MAE=0.000017
层级42: MAE=0.000012
层级43: MAE=0.000017
层级44: MAE=0.000012
层级45: MAE=0.000021
层级46: MAE=0.000033
层级47: MAE=0.000014
层级48: MAE=0.000020
层级49: MAE=0.000043
层级50: MAE=0.000017
层级51: MAE=0.000030
层级52: MAE=0.000037
层级53: MAE=0.000085
层级54: MAE=0.000062
层级55: MAE=0.000196
层级56: MAE=0.000168
层级57: MAE=0.000018
层级58: MAE=0.000119
层级59: MAE=0.000026
层级60: MAE=0.000084
层级61: MAE=0.000117
层级62: MAE=0.000128
层级63: MAE=0.000195
层级64: MAE=0.000083
层级65: MAE=0.000020
层级66: MAE=0.000045
层级67: MAE=0.000063
层级68: MAE=0.000037
层级69: MAE=0.000016
层级70: MAE=0.000034
层级71: MAE=0.000076
层级72: MAE=0.000077
层级73: MAE=0.000062
层级74: MAE=0.000040
层级75: MAE=0.000024
层级76: MAE=0.000042
层级77: MAE=0.000032
层级78: MAE=0.000018
层级79: MAE=0.000030
