========== q 最优层级性能指标 ==========
最优层级: 79 (MAE=0.019925)
最优层级RMSE: 0.019925
最优层级R²: -48286.639346
最优层级MSE: 0.000397

========== 80层MAE分布 ==========
层级0: MAE=0.019998
层级1: MAE=0.019997
层级2: MAE=0.019997
层级3: MAE=0.019997
层级4: MAE=0.019996
层级5: MAE=0.019996
层级6: MAE=0.019996
层级7: MAE=0.019996
层级8: MAE=0.019996
层级9: MAE=0.019996
层级10: MAE=0.019996
层级11: MAE=0.019996
层级12: MAE=0.019996
层级13: MAE=0.019996
层级14: MAE=0.019996
层级15: MAE=0.019996
层级16: MAE=0.019996
层级17: MAE=0.019996
层级18: MAE=0.019996
层级19: MAE=0.019996
层级20: MAE=0.019996
层级21: MAE=0.019996
层级22: MAE=0.019997
层级23: MAE=0.019997
层级24: MAE=0.019997
层级25: MAE=0.019997
层级26: MAE=0.019997
层级27: MAE=0.019997
层级28: MAE=0.019997
层级29: MAE=0.019997
层级30: MAE=0.019997
层级31: MAE=0.019997
层级32: MAE=0.019997
层级33: MAE=0.019997
层级34: MAE=0.019997
层级35: MAE=0.019997
层级36: MAE=0.019997
层级37: MAE=0.019997
层级38: MAE=0.019997
层级39: MAE=0.019997
层级40: MAE=0.019997
层级41: MAE=0.019997
层级42: MAE=0.019997
层级43: MAE=0.019997
层级44: MAE=0.019997
层级45: MAE=0.019997
层级46: MAE=0.019997
层级47: MAE=0.019997
层级48: MAE=0.019997
层级49: MAE=0.019997
层级50: MAE=0.019997
层级51: MAE=0.019997
层级52: MAE=0.019997
层级53: MAE=0.019997
层级54: MAE=0.019997
层级55: MAE=0.019997
层级56: MAE=0.019997
层级57: MAE=0.019997
层级58: MAE=0.019997
层级59: MAE=0.019997
层级60: MAE=0.019997
层级61: MAE=0.019997
层级62: MAE=0.019997
层级63: MAE=0.019997
层级64: MAE=0.019997
层级65: MAE=0.019996
层级66: MAE=0.019996
层级67: MAE=0.019995
层级68: MAE=0.019994
层级69: MAE=0.019992
层级70: MAE=0.019990
层级71: MAE=0.019988
层级72: MAE=0.019984
层级73: MAE=0.019980
层级74: MAE=0.019974
层级75: MAE=0.019968
层级76: MAE=0.019960
层级77: MAE=0.019950
层级78: MAE=0.019939
层级79: MAE=0.019925
