========== t 最优层级性能指标 ==========
最优层级: 42 (MAE=0.925833)
最优层级RMSE: 1.377770
最优层级R²: 0.983240
最优层级MSE: 1.898250

========== 80层MAE分布 ==========
层级0: MAE=1.422680
层级1: MAE=1.580982
层级2: MAE=2.009943
层级3: MAE=2.150038
层级4: MAE=2.260110
层级5: MAE=1.882080
层级6: MAE=1.700013
层级7: MAE=2.147597
层级8: MAE=2.689946
层级9: MAE=3.214265
层级10: MAE=2.706437
层级11: MAE=1.862764
层级12: MAE=1.485215
层级13: MAE=1.433934
层级14: MAE=1.738681
层级15: MAE=2.367774
层级16: MAE=2.221413
层级17: MAE=1.999615
层级18: MAE=1.913831
层级19: MAE=1.700299
层级20: MAE=1.667662
层级21: MAE=1.497351
层级22: MAE=1.471660
层级23: MAE=1.479104
层级24: MAE=1.491554
层级25: MAE=1.647691
层级26: MAE=1.682491
层级27: MAE=1.540050
层级28: MAE=1.717555
层级29: MAE=1.975952
层级30: MAE=1.787721
层级31: MAE=2.029501
层级32: MAE=1.946285
层级33: MAE=1.540063
层级34: MAE=1.396867
层级35: MAE=1.195564
层级36: MAE=1.227261
层级37: MAE=1.254721
层级38: MAE=1.286724
层级39: MAE=1.270650
层级40: MAE=1.065367
层级41: MAE=1.015590
层级42: MAE=0.925833
层级43: MAE=0.944544
层级44: MAE=0.948081
层级45: MAE=0.968831
层级46: MAE=1.097900
层级47: MAE=1.102141
层级48: MAE=1.085410
层级49: MAE=1.164982
层级50: MAE=1.188298
层级51: MAE=1.273147
层级52: MAE=1.282700
层级53: MAE=1.259512
层级54: MAE=1.189508
层级55: MAE=1.175108
层级56: MAE=1.120390
层级57: MAE=1.175936
层级58: MAE=1.161666
层级59: MAE=1.187222
层级60: MAE=1.282002
层级61: MAE=1.195432
层级62: MAE=1.221302
层级63: MAE=1.243344
层级64: MAE=1.137720
层级65: MAE=1.135832
层级66: MAE=1.099445
层级67: MAE=1.137750
层级68: MAE=1.249915
层级69: MAE=1.186203
层级70: MAE=1.335545
层级71: MAE=1.324656
层级72: MAE=1.379171
层级73: MAE=1.489976
层级74: MAE=1.573281
层级75: MAE=1.500205
层级76: MAE=1.507768
层级77: MAE=1.341745
层级78: MAE=1.428447
层级79: MAE=1.331782
