========== u 最优层级性能指标 ==========
最优层级: 45 (MAE=3.262696)
最优层级RMSE: 4.122007
最优层级R²: 0.911834
最优层级MSE: 16.990939

========== 80层MAE分布 ==========
层级0: MAE=9.479031
层级1: MAE=10.125634
层级2: MAE=10.246807
层级3: MAE=11.396416
层级4: MAE=13.926571
层级5: MAE=16.051220
层级6: MAE=16.847673
层级7: MAE=16.107567
层级8: MAE=14.173998
层级9: MAE=12.184286
层级10: MAE=10.155751
层级11: MAE=8.393959
层级12: MAE=8.288224
层级13: MAE=8.022460
层级14: MAE=7.294649
层级15: MAE=7.753578
层级16: MAE=7.887292
层级17: MAE=7.808108
层级18: MAE=7.352537
层级19: MAE=6.794936
层级20: MAE=6.643094
层级21: MAE=6.627954
层级22: MAE=6.591053
层级23: MAE=6.911887
层级24: MAE=6.411629
层级25: MAE=6.299401
层级26: MAE=6.035293
层级27: MAE=6.422256
层级28: MAE=6.384688
层级29: MAE=6.017520
层级30: MAE=5.582375
层级31: MAE=5.018628
层级32: MAE=4.782101
层级33: MAE=4.528658
层级34: MAE=4.628127
层级35: MAE=4.741398
层级36: MAE=4.884843
层级37: MAE=4.615604
层级38: MAE=4.335197
层级39: MAE=4.153845
层级40: MAE=4.057848
层级41: MAE=3.682838
层级42: MAE=3.520535
层级43: MAE=3.396150
层级44: MAE=3.340296
层级45: MAE=3.262696
层级46: MAE=3.317209
层级47: MAE=3.416880
层级48: MAE=3.580089
层级49: MAE=3.784152
层级50: MAE=4.034268
层级51: MAE=4.270075
层级52: MAE=4.595719
层级53: MAE=4.519241
层级54: MAE=4.678135
层级55: MAE=4.726811
层级56: MAE=5.142980
层级57: MAE=5.428492
层级58: MAE=5.581546
层级59: MAE=5.906612
层级60: MAE=6.447555
层级61: MAE=6.726787
层级62: MAE=7.052215
层级63: MAE=7.183874
层级64: MAE=7.279071
层级65: MAE=7.518539
层级66: MAE=7.388414
层级67: MAE=7.335355
层级68: MAE=7.387716
层级69: MAE=7.369846
层级70: MAE=7.362978
层级71: MAE=7.564907
层级72: MAE=7.800612
层级73: MAE=7.831895
层级74: MAE=7.728946
层级75: MAE=7.713865
层级76: MAE=7.711249
层级77: MAE=8.116157
层级78: MAE=8.245154
层级79: MAE=8.131052
