========== v 最优层级性能指标 ==========
最优层级: 41 (MAE=2.828362)
最优层级RMSE: 3.855451
最优层级R²: 0.834998
最优层级MSE: 14.864499

========== 80层MAE分布 ==========
层级0: MAE=6.288063
层级1: MAE=6.446648
层级2: MAE=6.438809
层级3: MAE=5.738084
层级4: MAE=5.747676
层级5: MAE=5.839030
层级6: MAE=5.856811
层级7: MAE=5.578595
层级8: MAE=5.661770
层级9: MAE=5.913675
层级10: MAE=6.512318
层级11: MAE=7.308309
层级12: MAE=7.654776
层级13: MAE=7.576131
层级14: MAE=5.912502
层级15: MAE=5.522862
层级16: MAE=5.094024
层级17: MAE=5.038987
层级18: MAE=4.740965
层级19: MAE=4.406367
层级20: MAE=4.362949
层级21: MAE=4.236516
层级22: MAE=4.137480
层级23: MAE=3.982154
层级24: MAE=3.815348
层级25: MAE=3.865756
层级26: MAE=3.614512
层级27: MAE=3.516231
层级28: MAE=3.242350
层级29: MAE=3.460436
层级30: MAE=3.588034
层级31: MAE=3.396460
层级32: MAE=3.225963
层级33: MAE=3.215306
层级34: MAE=3.134838
层级35: MAE=3.058784
层级36: MAE=3.041202
层级37: MAE=3.019084
层级38: MAE=2.897626
层级39: MAE=2.893299
层级40: MAE=2.854780
层级41: MAE=2.828362
层级42: MAE=2.860079
层级43: MAE=2.883670
层级44: MAE=2.906452
层级45: MAE=2.990245
层级46: MAE=2.966817
层级47: MAE=2.909395
层级48: MAE=2.864826
层级49: MAE=2.914084
层级50: MAE=3.058502
层级51: MAE=3.158240
层级52: MAE=3.267833
层级53: MAE=3.423148
层级54: MAE=3.566613
层级55: MAE=3.801100
层级56: MAE=4.147079
层级57: MAE=4.392838
层级58: MAE=4.559717
层级59: MAE=4.685700
层级60: MAE=4.955607
层级61: MAE=4.979198
层级62: MAE=5.050353
层级63: MAE=5.176864
层级64: MAE=5.227818
层级65: MAE=5.338470
层级66: MAE=5.677402
层级67: MAE=5.846789
层级68: MAE=6.027812
层级69: MAE=6.096152
层级70: MAE=6.295300
层级71: MAE=6.378795
层级72: MAE=6.561430
层级73: MAE=6.739572
层级74: MAE=6.819902
层级75: MAE=6.862281
层级76: MAE=6.888663
层级77: MAE=7.035140
层级78: MAE=7.026963
层级79: MAE=7.089092
