========== z 最优层级性能指标 ==========
最优层级: 46 (MAE=0.066908)
最优层级RMSE: 0.069237
最优层级R²: 0.000000
最优层级MSE: 0.004794

========== 80层MAE分布 ==========
层级0: MAE=4.434975
层级1: MAE=0.084052
层级2: MAE=0.080910
层级3: MAE=0.077886
层级4: MAE=0.077649
层级5: MAE=0.076342
层级6: MAE=0.074759
层级7: MAE=0.073309
层级8: MAE=0.071054
层级9: MAE=0.071856
层级10: MAE=0.070515
层级11: MAE=0.070351
层级12: MAE=0.070304
层级13: MAE=0.070121
层级14: MAE=0.069042
层级15: MAE=0.069032
层级16: MAE=0.068768
层级17: MAE=0.068431
层级18: MAE=0.068654
层级19: MAE=0.067647
层级20: MAE=0.069015
层级21: MAE=0.067848
层级22: MAE=0.069010
层级23: MAE=0.068105
层级24: MAE=0.068419
层级25: MAE=0.068217
层级26: MAE=0.068583
层级27: MAE=0.068103
层级28: MAE=0.068141
层级29: MAE=0.068408
层级30: MAE=0.069292
层级31: MAE=0.067959
层级32: MAE=0.068834
层级33: MAE=0.068402
层级34: MAE=0.068053
层级35: MAE=0.068645
层级36: MAE=0.068260
层级37: MAE=0.067857
层级38: MAE=0.068169
层级39: MAE=0.068015
层级40: MAE=0.068649
层级41: MAE=0.068380
层级42: MAE=0.068347
层级43: MAE=0.068142
层级44: MAE=0.068533
层级45: MAE=0.067665
层级46: MAE=0.066908
层级47: MAE=0.067610
层级48: MAE=0.067689
层级49: MAE=0.067366
层级50: MAE=0.068343
层级51: MAE=0.068962
层级52: MAE=0.068506
层级53: MAE=0.068212
层级54: MAE=0.067508
层级55: MAE=0.067601
层级56: MAE=0.068216
层级57: MAE=0.068142
层级58: MAE=0.068131
层级59: MAE=0.067516
层级60: MAE=0.067774
层级61: MAE=0.068005
层级62: MAE=0.069299
层级63: MAE=0.068371
层级64: MAE=0.068780
层级65: MAE=0.069610
层级66: MAE=0.068860
层级67: MAE=0.068542
层级68: MAE=0.069299
层级69: MAE=0.069207
层级70: MAE=0.069467
层级71: MAE=0.070407
层级72: MAE=0.071995
层级73: MAE=0.070851
层级74: MAE=0.071749
层级75: MAE=0.071702
层级76: MAE=0.072088
层级77: MAE=0.071567
层级78: MAE=0.072940
层级79: MAE=0.073674
